method,seed,block,deploy_rel_error,weight_rel_error
fp16_reference,0,attn_q_proj,0.0,0.0
fp16_reference,0,attn_k_proj,0.0,0.0
fp16_reference,0,attn_v_proj,0.0,0.0
fp16_reference,0,attn_o_proj,0.0,0.0
fp16_reference,0,mlp_gate_proj,0.0,0.0
fp16_reference,0,mlp_up_proj,0.0,0.0
fp16_reference,0,mlp_down_proj,0.0,0.0
rtn_per_channel,0,attn_q_proj,0.21089709173983007,0.22368733502262053
rtn_per_channel,0,attn_k_proj,0.21934146115526493,0.21795634123462296
rtn_per_channel,0,attn_v_proj,0.2211635431556597,0.21636798660822987
rtn_per_channel,0,attn_o_proj,0.2182698998698606,0.21695891435123416
rtn_per_channel,0,mlp_gate_proj,0.27598744328661384,0.29414352805577765
rtn_per_channel,0,mlp_up_proj,0.29177866975900063,0.2910874858972142
rtn_per_channel,0,mlp_down_proj,0.21830125419817548,0.2007508234532202
hessian_diag_clip,0,attn_q_proj,0.23003697026377956,0.21978627544980792
hessian_diag_clip,0,attn_k_proj,0.2504903314102668,0.23022716563024523
hessian_diag_clip,0,attn_v_proj,0.2354457603354934,0.22394312569365274
hessian_diag_clip,0,attn_o_proj,0.22366999929338333,0.22351946434085834
hessian_diag_clip,0,mlp_gate_proj,0.2554239484440967,0.2343630995916215
hessian_diag_clip,0,mlp_up_proj,0.18713659815981143,0.20945727985459844
hessian_diag_clip,0,mlp_down_proj,0.22827130053960376,0.25736910847115996
awq_like_scale_grid,0,attn_q_proj,0.21089709173983007,0.2236873350226205
awq_like_scale_grid,0,attn_k_proj,0.21934146115526493,0.21795634123462296
awq_like_scale_grid,0,attn_v_proj,0.2211635431556597,0.21636798660822987
awq_like_scale_grid,0,attn_o_proj,0.2182698998698606,0.21695891435123416
awq_like_scale_grid,0,mlp_gate_proj,0.27598744328661384,0.29414352805577765
awq_like_scale_grid,0,mlp_up_proj,0.29177866975900063,0.2910874858972142
awq_like_scale_grid,0,mlp_down_proj,0.21830125419817548,0.2007508234532202
smoothquant_like_scale_grid,0,attn_q_proj,0.21089709173983004,0.22368733502262053
smoothquant_like_scale_grid,0,attn_k_proj,0.21934146115526493,0.21795634123462296
smoothquant_like_scale_grid,0,attn_v_proj,0.2211635431556597,0.21636798660822987
smoothquant_like_scale_grid,0,attn_o_proj,0.2182698998698606,0.21695891435123413
smoothquant_like_scale_grid,0,mlp_gate_proj,0.27598744328661384,0.29414352805577765
smoothquant_like_scale_grid,0,mlp_up_proj,0.29177866975900063,0.2910874858972142
smoothquant_like_scale_grid,0,mlp_down_proj,0.21830125419817548,0.2007508234532202
gptq_like_sequential,0,attn_q_proj,0.21517919724966825,0.32343133976943017
gptq_like_sequential,0,attn_k_proj,0.2426227704165613,0.3138353370963984
gptq_like_sequential,0,attn_v_proj,0.22287797427615635,0.31399343916081196
gptq_like_sequential,0,attn_o_proj,0.2004979470676308,0.3178411755507387
gptq_like_sequential,0,mlp_gate_proj,0.24344265069359738,0.3476702377261255
gptq_like_sequential,0,mlp_up_proj,0.17216577117274115,0.2839208460587366
gptq_like_sequential,0,mlp_down_proj,0.1911278159221544,0.4999021814664292
fp16_reference,1,attn_q_proj,0.0,0.0
fp16_reference,1,attn_k_proj,0.0,0.0
fp16_reference,1,attn_v_proj,0.0,0.0
fp16_reference,1,attn_o_proj,0.0,0.0
fp16_reference,1,mlp_gate_proj,0.0,0.0
fp16_reference,1,mlp_up_proj,0.0,0.0
fp16_reference,1,mlp_down_proj,0.0,0.0
rtn_per_channel,1,attn_q_proj,0.22147941260196263,0.2322822199342769
rtn_per_channel,1,attn_k_proj,0.2363032770226793,0.21650639161227805
rtn_per_channel,1,attn_v_proj,0.2340318678836204,0.23249519896554002
rtn_per_channel,1,attn_o_proj,0.23768308426993082,0.2309482587277564
rtn_per_channel,1,mlp_gate_proj,0.2919778958603378,0.29902696772718207
rtn_per_channel,1,mlp_up_proj,0.2818527817956195,0.2774918353347996
rtn_per_channel,1,mlp_down_proj,0.22277097285128988,0.22556330580020642
hessian_diag_clip,1,attn_q_proj,0.13321404516056495,0.21642122711392603
hessian_diag_clip,1,attn_k_proj,0.20463694410443445,0.21812554171841342
hessian_diag_clip,1,attn_v_proj,0.22865397173752441,0.22446697771180205
hessian_diag_clip,1,attn_o_proj,0.21352276356548544,0.22601863517554688
hessian_diag_clip,1,mlp_gate_proj,0.21289521879390802,0.23078586647120783
hessian_diag_clip,1,mlp_up_proj,0.22629996790963078,0.22128944514784485
hessian_diag_clip,1,mlp_down_proj,0.27766453932699964,0.26604525593889883
awq_like_scale_grid,1,attn_q_proj,0.22147941260196263,0.2322822199342769
awq_like_scale_grid,1,attn_k_proj,0.2363032770226793,0.21650639161227805
awq_like_scale_grid,1,attn_v_proj,0.2340318678836204,0.23249519896554002
awq_like_scale_grid,1,attn_o_proj,0.23768308426993082,0.2309482587277564
awq_like_scale_grid,1,mlp_gate_proj,0.2919778958603378,0.29902696772718207
awq_like_scale_grid,1,mlp_up_proj,0.2818527817956195,0.2774918353347996
awq_like_scale_grid,1,mlp_down_proj,0.22277097285128988,0.22556330580020642
smoothquant_like_scale_grid,1,attn_q_proj,0.22147941260196263,0.23228221993427686
smoothquant_like_scale_grid,1,attn_k_proj,0.2363032770226793,0.21650639161227805
smoothquant_like_scale_grid,1,attn_v_proj,0.2340318678836204,0.23249519896554002
smoothquant_like_scale_grid,1,attn_o_proj,0.23768308426993082,0.2309482587277564
smoothquant_like_scale_grid,1,mlp_gate_proj,0.2919778958603378,0.29902696772718207
smoothquant_like_scale_grid,1,mlp_up_proj,0.2818527817956195,0.2774918353347996
smoothquant_like_scale_grid,1,mlp_down_proj,0.22277097285128988,0.22556330580020642
gptq_like_sequential,1,attn_q_proj,0.11930550462240846,0.31236307657991536
gptq_like_sequential,1,attn_k_proj,0.18552618538582738,0.29916126168901025
gptq_like_sequential,1,attn_v_proj,0.20766304184413717,0.2939043286095072
gptq_like_sequential,1,attn_o_proj,0.19084327206822346,0.3393241814608169
gptq_like_sequential,1,mlp_gate_proj,0.1948125904574806,0.3209074103088466
gptq_like_sequential,1,mlp_up_proj,0.21319358458186602,0.3010908932280515
gptq_like_sequential,1,mlp_down_proj,0.24791912901078894,0.5549302624869937
fp16_reference,2,attn_q_proj,0.0,0.0
fp16_reference,2,attn_k_proj,0.0,0.0
fp16_reference,2,attn_v_proj,0.0,0.0
fp16_reference,2,attn_o_proj,0.0,0.0
fp16_reference,2,mlp_gate_proj,0.0,0.0
fp16_reference,2,mlp_up_proj,0.0,0.0
fp16_reference,2,mlp_down_proj,0.0,0.0
rtn_per_channel,2,attn_q_proj,0.21704241276212302,0.22593861217776506
rtn_per_channel,2,attn_k_proj,0.1847053716394006,0.22103521308109317
rtn_per_channel,2,attn_v_proj,0.2343180181914176,0.22082707595688295
rtn_per_channel,2,attn_o_proj,0.19006397510779305,0.22076329146507803
rtn_per_channel,2,mlp_gate_proj,0.2879600668440627,0.29462616931051633
rtn_per_channel,2,mlp_up_proj,0.2892426434711209,0.2818422880291344
rtn_per_channel,2,mlp_down_proj,0.2221910536279023,0.22238124348672247
hessian_diag_clip,2,attn_q_proj,0.2337387432405299,0.22449244370629132
hessian_diag_clip,2,attn_k_proj,0.26059307182923663,0.23246669844861415
hessian_diag_clip,2,attn_v_proj,0.22631410646113334,0.22679641482860968
hessian_diag_clip,2,attn_o_proj,0.21220866096540592,0.22177362502281156
hessian_diag_clip,2,mlp_gate_proj,0.2456042363351085,0.22957760863296808
hessian_diag_clip,2,mlp_up_proj,0.2103517172340545,0.22726529611174687
hessian_diag_clip,2,mlp_down_proj,0.26147835915436823,0.26741273944254385
awq_like_scale_grid,2,attn_q_proj,0.217042412762123,0.22593861217776504
awq_like_scale_grid,2,attn_k_proj,0.1847053716394006,0.22103521308109317
awq_like_scale_grid,2,attn_v_proj,0.2343180181914176,0.22082707595688295
awq_like_scale_grid,2,attn_o_proj,0.19006397510779305,0.22076329146507803
awq_like_scale_grid,2,mlp_gate_proj,0.2879600668440627,0.29462616931051633
awq_like_scale_grid,2,mlp_up_proj,0.2892426434711209,0.2818422880291344
awq_like_scale_grid,2,mlp_down_proj,0.2221910536279023,0.22238124348672247
smoothquant_like_scale_grid,2,attn_q_proj,0.21704241276212302,0.22593861217776506
smoothquant_like_scale_grid,2,attn_k_proj,0.18470537163940054,0.22103521308109317
smoothquant_like_scale_grid,2,attn_v_proj,0.2343180181914176,0.22082707595688295
smoothquant_like_scale_grid,2,attn_o_proj,0.19006397510779305,0.22076329146507803
smoothquant_like_scale_grid,2,mlp_gate_proj,0.2879600668440627,0.29462616931051633
smoothquant_like_scale_grid,2,mlp_up_proj,0.2892426434711209,0.2818422880291344
smoothquant_like_scale_grid,2,mlp_down_proj,0.2221910536279023,0.22238124348672247
gptq_like_sequential,2,attn_q_proj,0.21956698369918046,0.30616100643143135
gptq_like_sequential,2,attn_k_proj,0.2458699971584889,0.3391062175452436
gptq_like_sequential,2,attn_v_proj,0.21210845624407532,0.2964220754837815
gptq_like_sequential,2,attn_o_proj,0.19148007676707804,0.31142106412367654
gptq_like_sequential,2,mlp_gate_proj,0.23693969065174167,0.3477307507729552
gptq_like_sequential,2,mlp_up_proj,0.194792202814622,0.29059367142428
gptq_like_sequential,2,mlp_down_proj,0.22691026795206495,0.5381563648289281
