seed,method,admm_controller,admm_rho0,bits,name,d_in,d_out,final_primal,final_dual,final_rho,recon_error
0,admm_gptq,heuristic,1.0,4,transformer.h.0.attn.c_attn,768,2304,1.1190272302094302,1.9961451096481122,1.0,0.10405482134046803
0,admm_gptq,heuristic,1.0,4,transformer.h.0.attn.c_proj,768,768,0.20796486138241474,0.2785441385381878,1.0,0.10282436143459422
0,admm_gptq,heuristic,1.0,4,transformer.h.0.mlp.c_fc,768,3072,0.3681948621110519,0.41954300223000995,1.0,0.08307615062370802
0,admm_gptq,heuristic,1.0,4,transformer.h.0.mlp.c_proj,3072,768,0.49317551401395837,0.5117167698492028,1.0,0.34625111121317925
0,admm_gptq,heuristic,1.0,4,transformer.h.1.attn.c_attn,768,2304,0.6304213476512077,1.2902850278276161,1.0,0.08933707797171282
0,admm_gptq,heuristic,1.0,4,transformer.h.1.attn.c_proj,768,768,0.23505946192312252,0.401822687901583,1.0,0.3656922153335688
0,admm_gptq,heuristic,1.0,4,transformer.h.1.mlp.c_fc,768,3072,0.5444961854009054,0.8042127449469451,1.0,0.08211273301108521
0,admm_gptq,heuristic,1.0,4,transformer.h.1.mlp.c_proj,3072,768,0.08080771750185106,0.39037362593728514,1.0,0.33317037615613554
0,admm_gptq,heuristic,1.0,4,transformer.h.2.attn.c_attn,768,2304,0.9609083155730518,0.6264541874835499,1.0,0.060619873443397074
0,admm_gptq,heuristic,1.0,4,transformer.h.2.attn.c_proj,768,768,0.2157021367296776,0.1506014374385816,1.0,0.3092308594597218
0,admm_gptq,heuristic,1.0,4,transformer.h.2.mlp.c_fc,768,3072,0.5004748235626947,0.4554010808820739,1.0,0.08267382596443623
0,admm_gptq,heuristic,1.0,4,transformer.h.2.mlp.c_proj,3072,768,0.4471541686481898,0.46842369802476824,1.0,0.14735909972478084
0,admm_gptq,heuristic,1.0,4,transformer.h.3.attn.c_attn,768,2304,2.346337276375342,2.6869571936066143,1.0,0.08725229293564464
0,admm_gptq,heuristic,1.0,4,transformer.h.3.attn.c_proj,768,768,0.14823370043862474,0.29809122918130837,1.0,0.2538101684111918
0,admm_gptq,heuristic,1.0,4,transformer.h.3.mlp.c_fc,768,3072,0.4545687169670579,0.3371594295730711,1.0,0.08028380357828112
0,admm_gptq,heuristic,1.0,4,transformer.h.3.mlp.c_proj,3072,768,0.17382491034071124,0.2621310672814957,1.0,0.4271846270376437
0,admm_gptq,heuristic,1.0,4,transformer.h.4.attn.c_attn,768,2304,2.187134194443234,2.73865936324475,1.0,0.09186624319342823
0,admm_gptq,heuristic,1.0,4,transformer.h.4.attn.c_proj,768,768,0.09797489157411116,0.16848370990716596,1.0,0.2529082276844877
0,admm_gptq,heuristic,1.0,4,transformer.h.4.mlp.c_fc,768,3072,0.4462187396528518,0.41066173104821035,1.0,0.0847703748774181
0,admm_gptq,heuristic,1.0,4,transformer.h.4.mlp.c_proj,3072,768,0.1356970485622732,0.2571165488279287,1.0,0.31395691299785355
0,admm_gptq,heuristic,1.0,4,transformer.h.5.attn.c_attn,768,2304,1.7095620535940663,2.016762700698607,1.0,0.1180016514900054
0,admm_gptq,heuristic,1.0,4,transformer.h.5.attn.c_proj,768,768,0.4172415244751104,0.4024585819273192,1.0,0.25482118003399534
0,admm_gptq,heuristic,1.0,4,transformer.h.5.mlp.c_fc,768,3072,0.37383050150651986,0.39626591870220523,1.0,0.08403958210915954
0,admm_gptq,heuristic,1.0,4,transformer.h.5.mlp.c_proj,3072,768,0.1384144260296214,0.286819025743311,1.0,0.3237140749440404
0,admm_gptq,heuristic,1.0,4,transformer.h.6.attn.c_attn,768,2304,1.6317902061507934,1.9312932673190617,1.0,0.12017543344945578
0,admm_gptq,heuristic,1.0,4,transformer.h.6.attn.c_proj,768,768,0.3189764303169129,0.619026317936285,1.0,0.24145706985731527
0,admm_gptq,heuristic,1.0,4,transformer.h.6.mlp.c_fc,768,3072,0.3471270401635759,0.25633008624426473,1.0,0.08510015708863299
0,admm_gptq,heuristic,1.0,4,transformer.h.6.mlp.c_proj,3072,768,0.16597967319841278,0.34783343825494495,1.0,0.34254321673822036
0,admm_gptq,heuristic,1.0,4,transformer.h.7.attn.c_attn,768,2304,1.7249680834054302,2.116527834668407,1.0,0.12384619991383779
0,admm_gptq,heuristic,1.0,4,transformer.h.7.attn.c_proj,768,768,0.4535842409901457,0.7498858682904802,1.0,0.20782146014279204
0,admm_gptq,heuristic,1.0,4,transformer.h.7.mlp.c_fc,768,3072,0.3322485044719318,0.28454707672182955,1.0,0.08548800373991253
0,admm_gptq,heuristic,1.0,4,transformer.h.7.mlp.c_proj,3072,768,0.24043177426579926,0.4131086627323721,1.0,0.3146461242819862
0,admm_gptq,heuristic,1.0,4,transformer.h.8.attn.c_attn,768,2304,1.6553759877905223,2.0130693660950016,1.0,0.12249727305161115
0,admm_gptq,heuristic,1.0,4,transformer.h.8.attn.c_proj,768,768,0.5991055238634848,1.2265013175342332,1.0,0.25684641731205415
0,admm_gptq,heuristic,1.0,4,transformer.h.8.mlp.c_fc,768,3072,0.3621451959942403,0.3125761892919441,1.0,0.08781012987460066
0,admm_gptq,heuristic,1.0,4,transformer.h.8.mlp.c_proj,3072,768,0.31406584875669424,0.35751568756654156,1.0,0.3128562250536245
0,admm_gptq,heuristic,1.0,4,transformer.h.9.attn.c_attn,768,2304,1.648805694681685,2.022172215593427,1.0,0.1295400797090774
0,admm_gptq,heuristic,1.0,4,transformer.h.9.attn.c_proj,768,768,0.5113292405585447,0.6315513571362329,1.0,0.17228611189925194
0,admm_gptq,heuristic,1.0,4,transformer.h.9.mlp.c_fc,768,3072,0.3268602040936086,0.31348465525971314,1.0,0.08947988328287948
0,admm_gptq,heuristic,1.0,4,transformer.h.9.mlp.c_proj,3072,768,0.5059920619327968,0.6109546093129438,1.0,0.301998589045134
0,admm_gptq,heuristic,1.0,4,transformer.h.10.attn.c_attn,768,2304,1.5088980132346543,1.8107277986577428,1.0,0.13410402244959138
0,admm_gptq,heuristic,1.0,4,transformer.h.10.attn.c_proj,768,768,0.34810563307699227,0.24251557248760122,1.0,0.1417192653137575
0,admm_gptq,heuristic,1.0,4,transformer.h.10.mlp.c_fc,768,3072,0.3507121823135178,0.360333987586942,1.0,0.09451686562773039
0,admm_gptq,heuristic,1.0,4,transformer.h.10.mlp.c_proj,3072,768,1.0672402945520825,0.9081213473357016,1.0,0.3149491478321674
0,admm_gptq,heuristic,1.0,4,transformer.h.11.attn.c_attn,768,2304,1.0194858818639474,0.9764485712362208,1.0,0.1579326860135356
0,admm_gptq,heuristic,1.0,4,transformer.h.11.attn.c_proj,768,768,0.716223089502567,0.23681826246877913,1.0,0.044939003183621144
0,admm_gptq,heuristic,1.0,4,transformer.h.11.mlp.c_fc,768,3072,1.039192937251196,1.4953519809986544,1.0,0.10513432892512245
0,admm_gptq,heuristic,1.0,4,transformer.h.11.mlp.c_proj,3072,768,1.5772274977776413,0.8151925296043319,1.0,0.25780067480126007
0,admm_gptq,heuristic,1.0,4,lm_head,768,50257,82.33922544499542,71.29071616236284,1.0,0.020386758994880887
